route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,peak_flag,fare_id,wheelchair_accessible,bikes_allowed
100001,20462,800557800,"Kinnear Seattle Center W","",0,8047832,11001003,,101,1,1
100001,20462,800557830,"Downtown Seattle","",1,8047832,20001002,,101,1,1
100001,20462,800557870,"Downtown Seattle","",1,8047832,20001002,,101,1,1
100001,20462,800557880,"Downtown Seattle","",1,8047832,20001002,,101,1,1
100001,20462,800557970,"Downtown Seattle","",1,8047821,20001002,,101,1,1
100001,20462,800558050,"Kinnear Seattle Center W","",0,8047821,11001003,,101,1,1
100001,23446,651985240,"Downtown Seattle","",1,8023229,20001005,,101,1,1
100001,23446,651985260,"Kinnear Seattle Center W","",0,8023210,11001004,,101,1,1
100001,23446,662838500,"Kinnear Seattle Center W","",0,8023230,11001004,,101,1,1
100001,23446,727424920,"Downtown Seattle","",1,8023231,20001002,,101,1,1
100001,23446,727424980,"Kinnear Seattle Center W","",0,8023231,11001003,,101,1,1
100001,23446,727425020,"Downtown Seattle","",1,8023231,20001002,,101,1,1
100001,23446,727425030,"Downtown Seattle","",1,8023231,20001002,,101,1,1
100001,23446,727425050,"Downtown Seattle","",1,8023231,20001002,,101,1,1
100001,23446,727425120,"Downtown Seattle","",1,8023210,20001002,,101,1,1
100001,23446,727425130,"Downtown Seattle","",1,8023210,20001002,,101,1,1
100001,23446,727425140,"Downtown Seattle","",1,8023210,20001002,,101,1,1
100001,23446,727425150,"Kinnear Seattle Center W","",0,8023210,11001003,,101,1,1
100001,23446,727425160,"Downtown Seattle","",1,8023210,20001002,,101,1,1
100001,23446,727425230,"Kinnear Seattle Center W","",0,8023210,11001003,,101,1,1
100001,23446,727425240,"Downtown Seattle","",1,8023210,20001002,,101,1,1
100001,23446,727425280,"Downtown Seattle","",1,8023231,20001002,,101,1,1
100001,23446,727425330,"Downtown Seattle","",1,8023210,20001002,,101,1,1
100001,23446,727425350,"Downtown Seattle","",1,8023231,20001002,,101,1,1
100001,23446,727425360,"Kinnear Seattle Center W","",0,8023210,11001003,,101,1,1
100001,23446,727425390,"Downtown Seattle","",1,8023209,20001002,,101,1,1
100001,23446,727425440,"Downtown Seattle","",1,8023209,20001002,,101,1,1
100001,23446,727425450,"Kinnear Seattle Center W","",0,8023231,11001003,,101,1,1
100001,23446,727425460,"Downtown Seattle","",1,8023209,20001002,,101,1,1
100001,23446,727425490,"Downtown Seattle","",1,8023209,20001002,,101,1,1
100001,23446,727425550,"Kinnear Seattle Center W","",0,8023209,11001003,,101,1,1
100001,23446,727425560,"Downtown Seattle","",1,8023209,20001002,,101,1,1
100001,23446,727425610,"Downtown Seattle","",1,8023209,20001002,,101,1,1
100001,23446,727425620,"Kinnear Seattle Center W","",0,8023210,11001003,,101,1,1
100001,23446,727425650,"Downtown Seattle","",1,8023210,20001002,,101,1,1
100001,23446,727425660,"Kinnear Seattle Center W","",0,8023209,11001003,,101,1,1
100001,23446,727425700,"Downtown Seattle","",1,8023231,20001002,,101,1,1
100001,23446,727425710,"Downtown Seattle","",1,8023209,20001002,,101,1,1
100001,23446,727425720,"Kinnear Seattle Center W","",0,8023231,11001003,,101,1,1
100001,23446,727425740,"Downtown Seattle","",1,8023210,20001002,,101,1,1
100001,23446,727425760,"Downtown Seattle","",1,8023230,20001002,,101,1,1
100001,23446,727425770,"Kinnear Seattle Center W","",0,8023230,11001003,,101,1,1
100001,23446,727425800,"Kinnear Seattle Center W","",0,8023230,11001003,,101,1,1
